link,title,price,area,location,posted_date
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-cuu-dam-phuong-tan-son-nhi/-moi-100-xe-hoi-ngu-trong-phu-pr42869564,"Nhà mới 100%, xe hơi ngủ trong nhà Nguyễn Cửu Đàm Tân Sơn Nhì Tân Phú","6,75 tỷ",60 m²,"Tân Phú, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-quang-tien-phuong-dai-mo/chinh-chu-ban-nhanh-manh-52m2-ngo-82-san-c4-dang-cho-thue-chi-145tr-m2-co-tl-pr42700353,"Siêu hiếm, hơn 6 tỷ có ngay 52m2 đất ngõ rộng thoáng ô tô vào, sẵn cấp 4 cho thuê, đầu tư xây ccmn","6,7 tỷ",52 m²,"Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-49-phuong-tan-tao/ban-chinh-chu-20m-kdc-ten-lua-51-49-p-q-binh-dt-81m2-11-ty-pr42442134,"Chính chủ bán nhà siêu đẹp siêu rẻ, mặt tiền kinh doanh đường rộng 20m, KDC Tên Lửa, DT 81m2, 11 tỷ",11 tỷ,81 m²,"Bình Tân, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-dinh-chieu-phuong-da-kao-prj-the-marq/ban-2pn-gia-14-9-ty-view-landmark-81-co-so-ng-tang-kem-c-u-xe-oto-tai-marq-pr42869549,"Bán căn hộ 2PN, giá 14,9 tỷ View Landmark 81, đã có sổ hồng, tặng kèm chỗ đậu xe oto tại The Marq","14,9 tỷ",77 m²,"Quận 1, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-422-xa-duc-giang-3/ban-tai-cho-cao-ha-hoai-pr42777014,Bán đất tại chợ cao hạ đức giang hoài đức,"9,21 tỷ","64,4 m²","Hoài Đức, Hà Nội",
https://batdongsan.com.vn/ban-nha-rieng-duong-le-hien-mai-phuong-phuoc-hai/-ban-tai-trang-gia-thoa-thuan-100m2-pr42871338,"Bán nhà tại Lê Hiến Mai, Phước Hải, Nha Trang, 100m2, nhà có 3pn 4wc, pháp lý sổ Hồng hoàn công",Giá thỏa thuận,100 m²,"Nha Trang, Khánh Hòa",
https://batdongsan.com.vn/ban-dat-phuong-truong-thanh/ban-nhanh-hang-hiem-mat-tien-duong-so-4-cach-duong-lo-lu-30m-tpthu-duc-gia-7-35-ty-pr42871329,"Bán nhanh hàng hiếm Mặt Tiền Đường số 4, (cách đường Lò Lu 30m) Trường Thạnh,TpThủ Đức giá 7,35 tỷ","7,35 tỷ",112 m²,"Quận 9, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-xa-bao-khe-1/ban-chinh-chu-co-so-do-tai-dt-393m2-gia-26tr-m2-duong-rong-10m-pr42638442,"Bán đất chính chủ có sổ đỏ tại Bảo khê, Thành Phố Hưng Yên DT: 393m2, giá: 22tr/m2 đường rộng 10m","8,65 tỷ",393 m²,"Hưng Yên, Hưng Yên",
https://batdongsan.com.vn/ban-dat-nen-du-an-pho-phong-chau-xa-vinh-thai-prj-khu-do-thi-ven-song-tac/gio-hang-river-park-chinh-chu-can-ban-gia-dau-tu-lien-he-thuy-pr42042664,"Giỏ hàng Ven Sông Tắc(River Park), chính chủ cần bán giá đầu tư, liên hệ Thủy0889 335 ***","3,6 tỷ",125 m²,"Nha Trang, Khánh Hòa",
https://batdongsan.com.vn/ban-dat-nen-du-an-pho-phung-hung-1-xa-vinh-thai-prj-khu-do-thi-my-gia/gio-hang-100m2-tot-nhat-truong-kdt-duong-27m-dau-tu-lh-0889-335-gap-thuy-pr42319970,"Giỏ hàng 100m2 giá tốt nhất thị trường KĐT Mỹ Gia, đường 27m giá đầu tư, LH:0889 335 ***gặp Thủy",3 tỷ,100 m²,"Nha Trang, Khánh Hòa",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-mai-dich-prj-chung-cu-the-nine/ban-3pn-full-noi-that-cao-cap-tai-9-view-dieu-a-pr42832008,"BÁN CĂN HỘ 3PN FULL NỘI THẤT CAO CẤP TẠI THE NINE - 9 PHẠM VĂN ĐỒNG, VIEW HỒ ĐIỀU HOÀ","9,2 tỷ",92 m²,"Cầu Giấy, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe/chinh-chu-ban-gap-54m-2n-2-ban-cong-anland-1-gia-3-8x-ty-lh-pr42869556,"Chính chủ bán gấp căn 54m 2N 2. Ban công, chung cư AnLand 1, giá 3.8x Tỷ, LH0965 145 ***",Giá thỏa thuận,59 m²,"Hà Đông, Hà Nội",
