link,title,price,area,location,posted_date
https://batdongsan.com.vn/ban-dat-xa-dong-hoi/chinh-chu-ban-anh-80m-view-vuon-hoa-gia-sieu-re-168-trieu-pr42854721,"Chính chủ bán đất Đông Hội, Đông Anh 80m² View vườn hoa","14,64 tỷ",80 m²,"Đông Anh, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-khe-prj-chung-cu-lakeside-garden/-cao-cap-luu-le-ng-png-hai-png-pr42854688,"Căn hộ cao cấp hồ Phương Lưu, Lakeside Garden - Lê Hồng Phong, Hải Phòng","3,2 tỷ",78 m²,"Ngô Quyền, Hải Phòng",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-9-7-phuong-linh-xuan-prj-happy-one-sora/mo-ban-dot-dau-du-an-thu-duc-chu-dau-tu-van-lien-he-de-nhan-thong-tin-pr42130953,"Mở bán đợt đầu dự án Happy One Linh Xuân, Thủ Đức chủ đầu tư Vạn Xuân. CK 12.5%. LH CDT0917 599 ***","3,12 tỷ",68 m²,"Thủ Đức, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-hung-dao-phuong-pham-ngu-lao-1/cuc-hiem-dong-tien-on-dinh-60tr-th-tai-quan-1-lo-goc-4-tang-hem-xe-hoi-cach-pho-bui-vien-150m-pr42854527,"Cực hiếm, nhà dòng tiền ổn định 60tr/th tại Quận 1, lô góc 4 tầng hẻm xe hơi cách phố Bùi Viện 150m","8,2 tỷ",34 m²,"Quận 1, Hồ Chí Minh",
https://batdongsan.com.vn/ban-condotel-duong-hoang-quoc-viet-phuong-hung-thang-1-prj-skym/sky-m-ha-long-but-pha-loi-nhuan-cung-lan-song-du-lich-phuc-hoi-manh-me-pr42854500,Sky M Hạ Long - bứt phá lợi nhuận cùng làn sóng du lịch phục hồi mạnh mẽ,Giá thỏa thuận,31 m²,"Hạ Long, Quảng Ninh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-masteri-west-heights/chinh-chu-ban-goc-2n-tang-13-ban-cong-dong-nam-toa-c-smart-city-pr42854485,"Chính chủ cần bán căn góc 2N+ tầng 13 ban công đông nam toà C Masteri West Heights, Smart City","5,25 tỷ",63 m²,"Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-my-dinh-2-prj-the-zei-my-dinh/em-toan-cap-nhat-quy-2pn-3pn-dupx-gia-tot-tai-cccc-so-8-tho-pr42328980,Em Toàn cập nhật quỹ căn 2PN 3PN Duplex giá tốt tại CCCC The Zei - Số 8 Lê Đức Thọ,Giá thỏa thuận,108 m²,"Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-ngoc-thanh-1-prj-thanh-xuan-valley/duy-nhat-1-lo-don-lap-re-nhat-quy-hang-gia-sieu-uu-dai-dot-1-ck-them-300-trieu-lh-ngay-pr42663922,"Duy nhất 1 lô biệt thự đơn lập rẻ nhất quỹ hàng giá siêu ưu đãi đợt 1, CK thêm 300 triệu LH ngay",19 tỷ,325 m²,"Phúc Yên, Vĩnh Phúc",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bang-liet-phuong-hoang-liet-prj-ha-noi-melody-residences/5-uu-dai-nhinh-1-ty-mua-2pn-3pn-chi-tu-60tr-m2-vay-0-24t-ck-10-qua-tang-1-cay-vang-pr42429737,"Quỹ căn ưu đãi nhất thị trường. Nhỉnh 1,5 tỷ mua căn 2PN, 3PN. Chỉ từ 60tr/m2. Vay 0%/24T, CK 9%",5 tỷ,90 m²,"Hoàng Mai, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-goldseason/bql-tong-p-quy-moi-nhat-2pn-va-3pn-gia-tot-da-san-so-de-giao-dich-lh-pr42854127,"BQL tổng hợp quỹ căn mới nhất: 2PN và 3PN giá tốt, căn hộ đã sẵn sổ để giao dịch. LH:0961 846 ***","9,5 tỷ",100 m²,"Thanh Xuân, Hà Nội",
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/chinh-chu-ban-lien-ke-6-tang-thang-may-mat-tien-8-5m-tai-tay-ho-ha-noi-lh-pr42851469,"Chính chủ bán liền kề 6 tầng thang máy mặt tiền 8,5m tại Xuân La, Tây Hồ, Hà Nội LH0924 691 ***","34,9 tỷ","79,5 m²","Tây Hồ, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-xuan-la-prj-d-el-dorado-ii/ban-chuyen-nhuong-1-uy-nhat-toa-orao-55m2-2pn-1wc-so-huu-lau-ai-5-ty-pr42497408,"Bán chuyển nhượng 1 căn duy nhất toà D'.EL Dorado, Võ Chí Công. 55m2, 2PN 1WC. Sở hữu lâu dài. 5tỷ",5 tỷ,55 m²,"Tây Hồ, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dong-khe-prj-chung-cu-lakeside-garden/chinh-thuc-nhan-booking-va-cn-tang-gia-ban-chi-tu-44tr-m2-view-luu-pr42854005,"Chính thức nhận booking và chọn căn tầng, giá bán chỉ từ 44tr/m2 căn hộ view hồ Phương Lưu",3 tỷ,73 m²,"Ngô Quyền, Hải Phòng",
https://batdongsan.com.vn/ban-dat-nen-du-an-phuong-dong-tien-prj-homie-city/b-suat-ngoai-giao-gia-dau-tu-pr42853629,Bán suất ngoại giao dự án Homie City. Giá đầu tư,Giá thỏa thuận,96 m²,"Phổ Yên, Thái Nguyên",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/chu-nha-ra-hang-gap-101m2-gia-6-635-bao-phi-tang-cao-dep-doi-dien-cong-vien-22ha-pr42853607,Chủ nhà cần ra hàng gấp căn 101m2 giá 6.635 tỷ Bao phí tầng cao đẹp. Đối diện công viên 22Ha,"6,64 tỷ",101 m²,"Long Biên, Hà Nội",
