link,title,price,area,location,posted_date
https://batdongsan.com.vn/ban-nha-mat-pho-duong-ngoc-lam-phuong-ngoc-lam-2/ban-gap-lo-goc-112m2-mt-5-3-8pn-long-bien-dong-tien-cho-thue-90tr-thang-pr42857019,"BÁN GẤP NHÀ LÔ GÓC mặt phố Ngọc Lâm, 112m2,MT 5.3 8PN, Long Biên, dòng tiền cho thuê 90tr/ tháng","45,5 tỷ",112 m²,"Long Biên, Hà Nội",
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-quoc-lo-39a-thi-tran-diem-dien-prj-khu-do-thi-nguyen-duc-canh/ban-truc-ra-cang-day-lk01-dep-nhat-du-an-dt-90m2-gia-thoa-thuan-lh-pr42857475,"Bán shophouse trục đường ra cảng dẫy LK01 đẹp nhất dự án, Dt 90m2, giá thỏa thuận LH0969 582 ***",Giá thỏa thuận,90 m²,"Thái Thuỵ, Thái Bình",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-riverside-residence/ban-180m2-3pn-3wc-tai-q7-tp-hcm-lh-pr42604514,"BÁN CĂN HỘ CAO CẤP RIVERSIDE RESIDENCE PHÚ MỸ HƯNG 140M, 3PN, LH0968 668 ***",Giá thỏa thuận,140 m²,"Quận 7, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-opus-one-vinhomes-grand-park/ban-vinmes-2-9-ty-34m2-hang-t-tai-quan-9-pr42857458,"Bán căn hộ The Opus One - Vinhomes Grand Park, 2,9 tỷ, 34m2, hàng hot tại Quận 9","2,9 tỷ",35 m²,"Quận 9, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-mat-pho-duong-ha-huy-tap-phuong-thanh-khe-dong/dien-tich-75m2-3-tang-tang-4-lop-chong-nong-doi-dien-2-truong-hoc-pr42303435,"Bán nhà Mặt Tiền Diện tích 75m2, nhà 3 tầng tầng 4 lợp chống nóng, đối diện 2 trường học .","11,5 tỷ",75 m²,"Thanh Khê, Đà Nẵng",
https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-van-tri-phuong-10-8-prj-cityland-park-hills/can-ban-cap-co-ham-dt-10x20-dang-co-san-hd-thue-80tr-thang-pr42791029,"Bán 2 căn liền kề 5x20 Cityland. Giá 19,2 tỷ/căn, nhà hoàn thiện đẹp có tầng hầm. Sổ hồng đầy đủ",Giá thỏa thuận,200 m²,"Gò Vấp, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-516-xa-thach-cam/chinh-thuc-mo-ban-12-lien-ke-dep-tai-thanh-hoa-gia-chi-tu-200-den-300-trieu-pr42857400,Chính thức mở bán 12 lô liền kề đẹp tại Thanh Hoá: Giá chỉ từ 200 đến 300 triệu/lô,250 triệu,106 m²,"Thạch Thành, Thanh Hóa",
https://batdongsan.com.vn/ban-nha-rieng-phuong-trang-cat/chinh-chu-ban-thanh-to-3-tang-40m2-gia-chi-1-75ty-chinh-chu-pr42857297,"Chính chủ bán nhà Thành Tô, Tràng Cát, nhà 3 tầng 40m2, Giá chỉ 1.75ty. chính chủ0983 921 ***","1,75 tỷ",40 m²,"Hải An, Hải Phòng",
https://batdongsan.com.vn/ban-nha-rieng-pho-van-quan-phuong-da-phuc/chinh-chu-ban-ngo-18-moi-o-to-do-cua-3-tang-chinh-chu-pr42857340,"Chính chủ bán nhà ngõ 18 Vân Quan, Đa Phúc. Nhà mới ô tô đỗ cửa, 3 tầng. chính chủ0983 921 ***","1,4 tỷ",40 m²,"Dương Kinh, Hải Phòng",
https://batdongsan.com.vn/ban-dat-xa-dien-toan/-nen-2-mat-tien-gan-dai-lo-vo-nguyen-giap-pr42857398,ĐẤT NỀN DIÊN TOÀN 2 MẶT TIỀN GẦN ĐẠI LỘ VÕ NGUYÊN GIÁP,"2,2 tỷ","103,7 m²","Diên Khánh, Khánh Hòa",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-essensia-sky/t-cdt-phu-long-mo-suat-noi-bo-suc-ke-uu-dai-len-den-200tr-danh-c-kh-pr42849361,"Hot: CĐT Phú Long mở Suất nội bộ căn hộ sức khỏe Essensia Sky, ưu đãi lên đến 200tr dành cho KH",5 tỷ,74 m²,"Nhà Bè, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-phan-van-tri-phuong-5-15-prj-cityland-garden-hills-go-vap/hang-hiem-can-goc-san-vuon-don-lap-hill-gia-chi-60-ty-pr42857372,HÀNG HIẾM CĂN GÓC BIỆT THỰ SÂN VƯỜN ĐƠN LẬP CITYLAND GARDEN HILL GIÁ CHỈ 60 TỶ-0977 178 ***,60 tỷ,300 m²,"Gò Vấp, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-phuong-van-quan/ban-ha-dong-chi-tu-7-ty-oto-tranh-do-via-he-so-do-rong-dep-de-o-hoac-dau-tu-pr42300820,"Bán nhà đẹp Hà Đông chỉ từ 7 tỷ. Phân lô, ô tô tránh đỗ, vỉa hè - Sổ đỏ sẵn sàng - ở hoặc đầu tư",10 tỷ,80 m²,"Hà Đông, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-dai-mo-prj-hausman-premium-residences/-ban-quy-cuoi-ky-truc-tiep-cdt-du-an-cao-cap-mat-dao-pr42857330,Mở bán quỹ căn cuối ký trực tiếp CĐT dự án cao cấp Hausman Đại Mỗ mặt đường Lê Quang Đạo.,"5,04 tỷ","63,4 m²","Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-dat-xa-binh-tu/mat-tien-duong-voi-lo-gioi-27m-2-lo-lien-ke-voi-chieu-ngang-10m-dai-25m-tai-trung-tam-thang-binh-pr42857313,"Mặt tiền đường với lộ giới 27m, 2 lô liền kề với chiều ngang 10m, dài 25m, tại trung tâm thăng bình","1,75 tỷ",125 m²,"Thăng Bình, Quảng Nam",
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-doc-lap-phuong-9_3-prj-rosa-alba-resort-tuy-hoa/chinh-chu-can-ban-1-tret-3-lau-mt-le-duan-100-noi-that-cao-cap-pr42856269,"Chính chủ cần bán nhà phố thương mại Rosa Alba, 1 trệt 3 lầu MT Lê Duẩn, 100% nội thất cao cấp, SHR",Giá thỏa thuận,96 m²,"Tuy Hòa, Phú Yên",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-17-4-phuong-tan-phu-19-prj-nam-phuc-le-jardin/ban-ch-pmh-quan-7-124m2-lau-9-view-cong-vien-hoan-thien-noi-that-nha-trong-pr42658674,"Bán CH Nam Phúc Le Jardin PMH Quận 7 - 124m2, lầu 9, view công viên, nội thất cơ bản, 10.8 tỷ","10,8 tỷ",124 m²,"Quận 7, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-phuong-an-hai-bac/chinh-chu-ban-duong-rong-0to-9m-le-4m5-x-2-ben-quan-son-tra-da-nang-lh-vinh-pr42857276,Chính chủ bán đất đường Rộng 0to 9m ( lề 4m5 x 2 bên) Quận Sơn trà- Đà Nẵng LH vinh0905 277 ***,Giá thỏa thuận,"89,9 m²","Sơn Trà, Đà Nẵng",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-vinhomes-d-capitale/quy-3-ngu-co-so-ban-tai-dcapitale-cap-nhat-moi-thang-5-2025-gia-tu-8-3-ty-pr42857275,Quỹ căn 3 ngủ có sổ bán tại D'capitale - Cập nhật mới tháng 5/2025. Giá từ 8.3 tỷ,"8,3 tỷ",90 m²,"Cầu Giấy, Hà Nội",
https://batdongsan.com.vn/ban-dat-duong-tran-nao-phuong-an-khanh/b-khu-noi-bo-khh-qu-2-ngg-10m-gia-chi-24-ty-pr42857255,"Bán đất khu nội bộ Trần Não, An Khánh, Quận 2, Ngang 10m, Giá chỉ 24 tỷ",24 tỷ,130 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-51-phuong-phuoc-tan-prj-bien-hoa-new-city/bang-gia-moi-nhat-t6-2024-lk-tu-15-trieu-m2-bt-tu-11-trieu-m2-pr39986827,"Bảng giá đất nền Biên Hòa New City mới nhất Tháng 05/2025 - LK từ 15 tr/m2, BT từ 12.5 tr/m2","1,53 tỷ",100 m²,"Biên Hòa, Đồng Nai",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-sunshine-center/ac-mua-cat-lo-2-3pn-lh-e-pr42857813,Ac cần mua căn hộ cắt lỗ 2 - 3pn Sunshine Center Phạm Hùng Lh e0987 833 ***,9 tỷ,142 m²,"Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-nha-rieng-phuong-thuan-giao/ban-1-tret-2-lau-tai-tp-an-gia-2ty5-pr42857789,Bán Nhà 1 Trệt 2 lầu tại Thuận Giao Tp Thuận An Gía 2ty5,"2,2 tỷ",75 m²,"Thuận An, Bình Dương",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tinh-lo-743c-phuong-tan-dong-hiep-prj-tt-avio/mo-ban-moi-luong-trung-binh-cung-mua-duoc-tra-gop-6-trieu-thang-pr42857795,"Còn duy nhất 1 căn TMDV giá tốt nhất dự án TT Avio chỉ 1,226 tỷ thanh toán 6tr/tháng","1,23 tỷ","35,66 m²","Dĩ An, Bình Dương",
https://batdongsan.com.vn/ban-dat-duong-18a-phuong-ha-khau/ng-hiem-tai-ql18a-doi-dien-vin-long-xanh-25-trieu-1260m2-long-quang-ninh-pr42857690,"Hàng hiếm tại Đường QL18A, đối diện Vin Hạ Long Xanh, 25 triệu/m2, 1259.8m2, Hạ Long, Quảng Ninh","31,5 tỷ","1.259,8 m²","Hạ Long, Quảng Ninh",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-an-khanh-4-prj-vinhomes-thang-long/ban-sieu-vip-co-ham-tai-long-pr42857736,Bán biệt thự Siêu Vip có hầm tại Vinhomes Thăng Long,Giá thỏa thuận,370 m²,"Hoài Đức, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-n4-phuong-son-ky-prj-emerald-celadon-city/chuyen-gia-mua-ban-tai-alnata-alnata-plus-brillant-centeri-luon-cap-nhat-gia-tot-nhat-pr42444848,Chuyên gia mua bán tại Emerald 1PN 3.1 tỷ 2PN 3.5 tỷ 3PN 4.85 tỷ (luôn cập nhật giá mới nhất ),"3,2 tỷ",53 m²,"Tân Phú, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-mat-pho-pho-ke-tanh-phuong-giang-bien-1/ban-o-to-tranh-thang-tap-2-tien-lo-goc-kinh-doanh-pr42857404,BBán nhà phố Kẻ Tạnh - Giang Biên-Long Biên - Ô tô tránh thẳng tắp - 2 mặt tiền lô góc - kinh doanh,"7,2 tỷ",43 m²,"Long Biên, Hà Nội",
https://batdongsan.com.vn/ban-nha-rieng-phuong-kien-hung/ban-lo-goc-4-5-tang-ha-dong-31m-mat-tien-4-2m-kinh-doanh-sam-uat-gia-tot-pr42857708,"Bán nhà lô góc 4,5 tầng Kiến Hưng Hà Đông, 31m², mặt tiền 4,2m, kinh doanh sầm uất, giá tốt",6 tỷ,31 m²,"Hà Đông, Hà Nội",
https://batdongsan.com.vn/ban-dat-duong-quoc-lo-1b-xa-chuong-duong-1/manh-73m2-sieu-tiem-nang-o-to-tranh-kinh-doanh-cong-chao-thuong-tin-pr42857701,"Mảnh đất 73m2 siêu tiềm năng, ô tô tránh, kinh doanh, cổng chào Chương Dương Thường Tín","4,28 tỷ",73 m²,"Thường Tín, Hà Nội",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-ngoc-thuy-prj-khai-son-city/ban-bt-sieu-hot-tai-265-trieu-130m2-pr41851225,"Bán BT - Liền kề - Lô Góc siêu hot Tại khu Đô thị Khai Sơn City, Diện tích 130m2",Giá thỏa thuận,130 m²,"Long Biên, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-so-6-phuong-hiep-binh-phuoc-prj-urban-green/ban-65m-cc-uban-gia-tot-lh-pr42857681,"Bán căn 65m2 CC Uban Green giá tốt, LH0901 380 ***",4 tỷ,65 m²,"Thủ Đức, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-duong-ho-ba-mau-phuong-o-cho-dua/-tin-that-100-n-ccmn-82m2-x-19ch-tai-gan-va-t-d-dng-tien-1-5-ty-nam-pr42857661,"(Tin thật 100%) Bán CCMN 82m2 x 19CH tại đường Hồ Ba Mẫu - Gần hồ và ô tô đỗ - Dòng tiền 1,5 tỷ/năm","22,5 tỷ",82 m²,"Đống Đa, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-dich-vong-prj-khu-do-thi-moi-dich-vong/chinh-chu-ban-n07b1-2-dt-146m2-gia-nhinh-9-ty-4pn2vs-full-noi-that-pr42857634,"CHÍNH CHỦ BÁN CĂN HỘ N07B1.2: DT - 146M2, GIÁ: NHỈNH 9 TỶ, 4PN2VS FULL NỘI THẤT.",Giá thỏa thuận,146 m²,"Cầu Giấy, Hà Nội",
https://batdongsan.com.vn/ban-nha-rieng-duong-nghia-lo-phuong-yen-nghia-1/ban-ha-dong-dien-tich-147m-mat-tien-10m-o-to-do-cong-gia-chi-10-ty-pr42853196,"Bán nhà Nghĩa Lộ, Yên Nghĩa, diện tích 147m2, mặt tiền 10m, giá chỉ 10 tỷ - ô tô đỗ cổng",10 tỷ,147 m²,"Hà Đông, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-thuong-1-prj-chung-cu-westlake-residential/mo-ban-dot-1-tay-1-3pn-duplex-pent-53-226m2-ck-den-10-htls-0-24t-pr42493637,Mở bán đợt 1 Westlake Residential Hồ Tây 1 - 3PN Duplex Pent 53 - 226m2 CK đến 10% HTLS 0% 24T,14 tỷ,"81,5 m²","Tây Hồ, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/ban-gap-lau-2pn-2vs-toa-g1-gia-4-8-ty-dt-62-1m2-view-dep-gia-tot-pr41526341,"Chính chủ bán căn 2PN 2VS - tòa G2, 3.58 tỷ, DT 69.5m2, sổ lâu dài - GreenBay Mễ Trì -0974 121 ***","3,58 tỷ","69,5 m²","Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/-tien-ban-gap-2-ngu-1-ve-sinh-greenbay-gia-cat-so-voi-thi-truong-200tr-pr42857441,"Bán nhanh căn 2ngủ 2 vệ sinh 70m2 đồ đẹp sẵn ở giá 6,4 tỷ","6,3 tỷ","69,3 m²","Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-dat-xa-binh-loi/ben-em-mo-ban-hon-50-san-pham-ca-nen-va-nha-xay-san-so-rieng-tho-cu-100-gan-cau-bach-dang-2-pr42857556,"Bên em mở bán hơn 50 sản phẩm cả đất nền và nhà xây sẵn. Sổ riêng thổ cư 100%, gần cầu Bạch Đằng 2","1,05 tỷ",104 m²,"Vĩnh Cửu, Đồng Nai",
https://batdongsan.com.vn/ban-nha-mat-pho-duong-lam-nhi-phuong-hoa-an/ban-tien-khu-dan-tri-cao-pr42847545,Bán nhà mặt tiền đường Lâm Nhĩ khu dân trí cao,"4,45 tỷ",72 m²,"Cẩm Lệ, Đà Nẵng",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-ngoc-thuy-prj-khai-son-city/ban-goc-120m2-thiet-ke-3pn-full-noi-that-long-bien-gia-tot-chi-7-45-ty-pr42856933,Bán căn góc 120m2 thiết kế 3pn full nội thất chung cư Khai Sơn Long Biên giá tốt chỉ 7.45 tỷ,"7,45 tỷ",120 m²,"Long Biên, Hà Nội",
https://batdongsan.com.vn/ban-dat-xa-tu-vu/ban-thanh-thuy-phu-tho-pr42765950,Bán đất Tu Vũ - Thanh Thủy - Phú Thọ,750 triệu,490 m²,"Thanh Thủy, Phú Thọ",
https://batdongsan.com.vn/ban-dat-thi-tran-rung-thong/-chinh-chu-can-tien-ban-gap-dau-gia-dong-son-thanh-hoa-re-hon-lo-cung-day-ca-tram-trieu-pr42856906,"[CHÍNH CHỦ]Cần tiền bán gấp đất đấu giá Đông Sơn,Thanh Hóa, rẻ hơn lô cùng dãy cả trăm triệu","1,5 tỷ",100 m²,"Đông Sơn, Thanh Hóa",
